t,Vin,Vout
1.570796326794896558e+00,2.148129302811271124e+00,5.000000000000000000e+00
1.570827743035594803e+00,2.148297195311303920e+00,5.000000000000000000e+00
1.570859159276293271e+00,2.148465025326454114e+00,5.000000000000000000e+00
1.570890575516991516e+00,2.148632792808208070e+00,5.000000000000000000e+00
1.570921991757689762e+00,2.148800497708079238e+00,5.000000000000000000e+00
1.570953407998388007e+00,2.148968139977593506e+00,5.000000000000000000e+00
1.570984824239086475e+00,2.149135719568302072e+00,5.000000000000000000e+00
1.571016240479784720e+00,2.149303236431768127e+00,5.000000000000000000e+00
1.571047656720482966e+00,2.149470690519581506e+00,5.000000000000000000e+00
1.571079072961181211e+00,2.149638081783349364e+00,5.000000000000000000e+00
1.571110489201879679e+00,2.149805410174698395e+00,5.000000000000000000e+00
1.571141905442577924e+00,2.149972675645271281e+00,5.000000000000000000e+00
1.571173321683276169e+00,2.150139878146735573e+00,5.000000000000000000e+00
1.571204737923974415e+00,2.150307017630776141e+00,5.000000000000000000e+00
1.571236154164672882e+00,2.150474094049099172e+00,5.000000000000000000e+00
1.571267570405371128e+00,2.150641107353425951e+00,5.000000000000000000e+00
1.571298986646069373e+00,2.150808057495500858e+00,5.000000000000000000e+00
1.571330402886767841e+00,2.150974944427090918e+00,5.000000000000000000e+00
1.571361819127466086e+00,2.151141768099974705e+00,5.000000000000000000e+00
1.571393235368164332e+00,2.151308528465957437e+00,5.000000000000000000e+00
1.571424651608862577e+00,2.151475225476861652e+00,5.000000000000000000e+00
1.571456067849561045e+00,2.151641859084529429e+00,5.000000000000000000e+00
1.571487484090259290e+00,2.151808429240822829e+00,5.000000000000000000e+00
1.571518900330957536e+00,2.151974935897623009e+00,5.000000000000000000e+00
1.571550316571655781e+00,2.152141379006832445e+00,5.000000000000000000e+00
1.571581732812354248e+00,2.152307758520372705e+00,5.000000000000000000e+00
1.571613149053052494e+00,2.152474074390183123e+00,5.000000000000000000e+00
1.571644565293750739e+00,2.152640326568226570e+00,5.000000000000000000e+00
1.571675981534448985e+00,2.152806515006482346e+00,5.000000000000000000e+00
1.571707397775147452e+00,2.152972639656952847e+00,5.000000000000000000e+00
1.571738814015845698e+00,2.153138700471655120e+00,5.000000000000000000e+00
1.571770230256543943e+00,2.153304697402631973e+00,5.000000000000000000e+00
1.571801646497242411e+00,2.153470630401944863e+00,5.000000000000000000e+00
1.571833062737940656e+00,2.153636499421670347e+00,5.000000000000000000e+00
1.571864478978638902e+00,2.153802304413908963e+00,5.000000000000000000e+00
1.571895895219337147e+00,2.153968045330782122e+00,5.000000000000000000e+00
1.571927311460035614e+00,2.154133722124430328e+00,5.000000000000000000e+00
1.571958727700733860e+00,2.154299334747010519e+00,5.000000000000000000e+00
1.571990143941432105e+00,2.154464883150704058e+00,5.000000000000000000e+00
1.572021560182130351e+00,2.154630367287709181e+00,5.000000000000000000e+00
1.572052976422828818e+00,2.154795787110248551e+00,5.000000000000000000e+00
1.572084392663527064e+00,2.154961142570559041e+00,5.000000000000000000e+00
1.572115808904225309e+00,2.155126433620900173e+00,5.000000000000000000e+00
1.572147225144923777e+00,2.155291660213553229e+00,5.000000000000000000e+00
1.572178641385622022e+00,2.155456822300817255e+00,5.000000000000000000e+00
1.572210057626320268e+00,2.155621919835011280e+00,5.000000000000000000e+00
1.572241473867018513e+00,2.155786952768476539e+00,5.000000000000000000e+00
1.572272890107716981e+00,2.155951921053572917e+00,5.000000000000000000e+00
1.572304306348415226e+00,2.156116824642677621e+00,5.000000000000000000e+00
1.572335722589113471e+00,2.156281663488194500e+00,5.000000000000000000e+00
1.572367138829811717e+00,2.156446437542542061e+00,5.000000000000000000e+00
1.572398555070510184e+00,2.156611146758161901e+00,5.000000000000000000e+00
1.572429971311208430e+00,2.156775791087512495e+00,5.000000000000000000e+00
1.572461387551906675e+00,2.156940370483076297e+00,5.000000000000000000e+00
1.572492803792604921e+00,2.157104884897354413e+00,5.000000000000000000e+00
1.572524220033303388e+00,2.157269334282868378e+00,5.000000000000000000e+00
1.572555636274001634e+00,2.157433718592157046e+00,5.000000000000000000e+00
1.572587052514699879e+00,2.157598037777783695e+00,5.000000000000000000e+00
1.572618468755398347e+00,2.157762291792332032e+00,5.000000000000000000e+00
1.572649884996096592e+00,2.157926480588400864e+00,5.000000000000000000e+00
1.572681301236794837e+00,2.158090604118614753e+00,5.000000000000000000e+00
1.572712717477493083e+00,2.158254662335614693e+00,5.000000000000000000e+00
1.572744133718191550e+00,2.158418655192066993e+00,5.000000000000000000e+00
1.572775549958889796e+00,2.158582582640651726e+00,5.000000000000000000e+00
1.572806966199588041e+00,2.158746444634073391e+00,5.000000000000000000e+00
1.572838382440286287e+00,2.158910241125056473e+00,5.000000000000000000e+00
1.572869798680984754e+00,2.159073972066345437e+00,5.000000000000000000e+00
1.572901214921683000e+00,2.159237637410704291e+00,5.000000000000000000e+00
1.572932631162381245e+00,2.159401237110919247e+00,5.000000000000000000e+00
1.572964047403079491e+00,2.159564771119794280e+00,5.000000000000000000e+00
1.572995463643777958e+00,2.159728239390157345e+00,5.000000000000000000e+00
1.573026879884476203e+00,2.159891641874853718e+00,5.000000000000000000e+00
1.573058296125174449e+00,2.160054978526749547e+00,5.000000000000000000e+00
1.573089712365872916e+00,2.160218249298734516e+00,5.000000000000000000e+00
1.573121128606571162e+00,2.160381454143712965e+00,5.000000000000000000e+00
