t,Vin,Vout
2.529025290252902569e-01,5.004304191690236436e-01,5.000000000000000000e+00
2.532025320253202261e-01,5.010113165961879167e-01,5.000000000000000000e+00
2.535025350253502507e-01,5.015921689314323251e-01,5.000000000000000000e+00
2.538025380253802199e-01,5.021729761224789090e-01,5.000000000000000000e+00
2.541025410254102446e-01,5.027537381170541497e-01,5.000000000000000000e+00
2.544025440254402137e-01,5.033344548628881920e-01,5.000000000000000000e+00
2.547025470254702384e-01,5.039151263077157328e-01,5.000000000000000000e+00
2.550025500255002076e-01,5.044957523992751325e-01,5.000000000000000000e+00
2.553025530255302322e-01,5.050763330853090816e-01,5.000000000000000000e+00
2.556025560255602569e-01,5.056568683135642672e-01,5.000000000000000000e+00
2.559025590255902260e-01,5.062373580317913735e-01,5.000000000000000000e+00
2.562025620256202507e-01,5.068178021877454142e-01,5.000000000000000000e+00
2.565025650256502199e-01,5.073982007291851781e-01,5.000000000000000000e+00
2.568025680256802445e-01,5.079785536038741167e-01,5.000000000000000000e+00
2.571025710257102137e-01,5.085588607595790123e-01,5.000000000000000000e+00
2.574025740257402384e-01,5.091391221440715320e-01,5.000000000000000000e+00
2.577025770257702630e-01,5.097193377051268959e-01,5.000000000000000000e+00
2.580025800258002322e-01,5.102995073905245427e-01,5.000000000000000000e+00
2.583025830258302569e-01,5.108796311480484631e-01,5.000000000000000000e+00
2.586025860258602260e-01,5.114597089254862006e-01,5.000000000000000000e+00
2.589025890258902507e-01,5.120397406706299614e-01,5.000000000000000000e+00
2.592025920259202199e-01,5.126197263312756158e-01,5.000000000000000000e+00
2.595025950259502445e-01,5.131996658552236967e-01,5.000000000000000000e+00
2.598025980259802137e-01,5.137795591902781789e-01,5.000000000000000000e+00
2.601026010260102383e-01,5.143594062842481440e-01,5.000000000000000000e+00
2.604026040260402630e-01,5.149392070849458936e-01,5.000000000000000000e+00
2.607026070260702322e-01,5.155189615401883918e-01,5.000000000000000000e+00
2.610026100261002568e-01,5.160986695977968219e-01,5.000000000000000000e+00
2.613026130261302260e-01,5.166783312055962529e-01,5.000000000000000000e+00
2.616026160261602507e-01,5.172579463114163056e-01,5.000000000000000000e+00
2.619026190261902198e-01,5.178375148630903757e-01,5.000000000000000000e+00
2.622026220262202445e-01,5.184170368084564107e-01,5.000000000000000000e+00
2.625026250262502137e-01,5.189965120953562439e-01,5.000000000000000000e+00
2.628026280262802383e-01,5.195759406716361495e-01,5.000000000000000000e+00
2.631026310263102630e-01,5.201553224851466206e-01,5.000000000000000000e+00
2.634026340263402322e-01,5.207346574837419251e-01,5.000000000000000000e+00
2.637026370263702568e-01,5.213139456152812157e-01,5.000000000000000000e+00
2.640026400264002260e-01,5.218931868276273089e-01,5.000000000000000000e+00
2.643026430264302507e-01,5.224723810686475733e-01,5.000000000000000000e+00
2.646026460264602198e-01,5.230515282862132631e-01,5.000000000000000000e+00
2.649026490264902445e-01,5.236306284282005175e-01,5.000000000000000000e+00
2.652026520265202691e-01,5.242096814424889173e-01,5.000000000000000000e+00
2.655026550265502383e-01,5.247886872769625954e-01,5.000000000000000000e+00
2.658026580265802630e-01,5.253676458795103477e-01,5.000000000000000000e+00
2.661026610266102321e-01,5.259465571980245224e-01,5.000000000000000000e+00
2.664026640266402568e-01,5.265254211804022422e-01,5.000000000000000000e+00
