t,Vin,Vout
3.394320601887306665e+00,-3.881812095053973621e-01,5.000000000000000000e+00
3.394352018128005355e+00,-3.883302878539121039e-01,5.000000000000000000e+00
3.394383434368703600e+00,-3.884793782735111445e-01,5.000000000000000000e+00
3.394414850609401846e+00,-3.886284807547855102e-01,5.000000000000000000e+00
3.394446266850100535e+00,-3.887775952883282815e-01,5.000000000000000000e+00
3.394477683090798337e+00,-3.889267218647073365e-01,5.000000000000000000e+00
3.394509099331497026e+00,-3.890758604745074845e-01,5.000000000000000000e+00
3.394540515572194828e+00,-3.892250111082888320e-01,5.000000000000000000e+00
3.394571931812893517e+00,-3.893741737566163152e-01,5.000000000000000000e+00
3.394603348053591763e+00,-3.895233484100415478e-01,5.000000000000000000e+00
3.394634764294290008e+00,-3.896725350591183634e-01,5.000000000000000000e+00
3.394666180534988253e+00,-3.898217336943819444e-01,5.000000000000000000e+00
3.394697596775686499e+00,-3.899709443063740788e-01,5.000000000000000000e+00
3.394729013016385188e+00,-3.901201668856232319e-01,5.000000000000000000e+00
3.394760429257082990e+00,-3.902694014226473773e-01,5.000000000000000000e+00
3.394791845497781679e+00,-3.904186479079742034e-01,5.000000000000000000e+00
3.394823261738479925e+00,-3.905679063321063071e-01,5.000000000000000000e+00
3.394854677979178170e+00,-3.907171766855521144e-01,5.000000000000000000e+00
3.394886094219876416e+00,-3.908664589588071725e-01,5.000000000000000000e+00
3.394917510460574661e+00,-3.910157531423656407e-01,5.000000000000000000e+00
3.394948926701273351e+00,-3.911650592267189586e-01,5.000000000000000000e+00
3.394980342941971152e+00,-3.913143772023345845e-01,5.000000000000000000e+00
3.395011759182669842e+00,-3.914637070596999613e-01,5.000000000000000000e+00
3.395043175423368087e+00,-3.916130487892700018e-01,5.000000000000000000e+00
3.395074591664066332e+00,-3.917624023815110545e-01,5.000000000000000000e+00
3.395106007904764578e+00,-3.919117678268796978e-01,5.000000000000000000e+00
3.395137424145462823e+00,-3.920611451158212413e-01,5.000000000000000000e+00
3.395168840386161513e+00,-3.922105342387793847e-01,5.000000000000000000e+00
3.395200256626859314e+00,-3.923599351861879470e-01,5.000000000000000000e+00
3.395231672867558004e+00,-3.925093479484803582e-01,5.000000000000000000e+00
3.395263089108256249e+00,-3.926587725160763931e-01,5.000000000000000000e+00
3.395294505348954495e+00,-3.928082088793919957e-01,5.000000000000000000e+00
3.395325921589652740e+00,-3.929576570288410009e-01,5.000000000000000000e+00
3.395357337830350986e+00,-3.931071169548273625e-01,5.000000000000000000e+00
3.395388754071049675e+00,-3.932565886477480399e-01,5.000000000000000000e+00
3.395420170311747476e+00,-3.934060720979938308e-01,5.000000000000000000e+00
3.395451586552446166e+00,-3.935555672959541451e-01,5.000000000000000000e+00
3.395483002793143967e+00,-3.937050742320007957e-01,5.000000000000000000e+00
3.395514419033842657e+00,-3.938545928965183629e-01,5.000000000000000000e+00
3.395545835274540902e+00,-3.940041232798613402e-01,5.000000000000000000e+00
3.395577251515239148e+00,-3.941536653723973216e-01,5.000000000000000000e+00
3.395608667755937393e+00,-3.943032191644760820e-01,5.000000000000000000e+00
3.395640083996635639e+00,-3.944527846464486176e-01,5.000000000000000000e+00
3.395671500237334328e+00,-3.946023618086575979e-01,5.000000000000000000e+00
3.395702916478032130e+00,-3.947519506414299828e-01,5.000000000000000000e+00
3.395734332718730819e+00,-3.949015511351046115e-01,5.000000000000000000e+00
3.395765748959429065e+00,-3.950511632799985073e-01,5.000000000000000000e+00
3.395797165200127310e+00,-3.952007870664263067e-01,5.000000000000000000e+00
3.395828581440825555e+00,-3.953504224847033122e-01,5.000000000000000000e+00
3.395859997681523801e+00,-3.955000695251263410e-01,5.000000000000000000e+00
3.395891413922222490e+00,-3.956497281779974839e-01,5.000000000000000000e+00
3.395922830162920292e+00,-3.957993984336043436e-01,5.000000000000000000e+00
3.395954246403618981e+00,-3.959490802822355215e-01,5.000000000000000000e+00
3.395985662644317227e+00,-3.960987737141656861e-01,5.000000000000000000e+00
3.396017078885015472e+00,-3.962484787196664526e-01,5.000000000000000000e+00
3.396048495125713718e+00,-3.963981952890028859e-01,5.000000000000000000e+00
3.396079911366411963e+00,-3.965479234124374974e-01,5.000000000000000000e+00
3.396111327607110653e+00,-3.966976630802218073e-01,5.000000000000000000e+00
