t,Vin,Vout
3.394833948339483154e+00,-5.010863697800662653e-01,-5.000000000000000000e+00
3.395133951339512901e+00,-5.016672162852690020e-01,-5.000000000000000000e+00
3.395433954339543092e+00,-5.022480176395205387e-01,-5.000000000000000000e+00
3.395733957339573283e+00,-5.028287737905466903e-01,-5.000000000000000000e+00
3.396033960339603031e+00,-5.034094846860776018e-01,-5.000000000000000000e+00
3.396333963339633222e+00,-5.039901502738499683e-01,-5.000000000000000000e+00
3.396633966339662969e+00,-5.045707705016010403e-01,-5.000000000000000000e+00
3.396933969339693160e+00,-5.051513453170757284e-01,-5.000000000000000000e+00
3.397233972339722907e+00,-5.057318746680194987e-01,-5.000000000000000000e+00
3.397533975339753098e+00,-5.063123585021854778e-01,-5.000000000000000000e+00
3.397833978339783290e+00,-5.068927967673282353e-01,-5.000000000000000000e+00
3.398133981339813037e+00,-5.074731894112062269e-01,-5.000000000000000000e+00
3.398433984339843228e+00,-5.080535363815849026e-01,-5.000000000000000000e+00
3.398733987339872975e+00,-5.086338376262303784e-01,-5.000000000000000000e+00
3.399033990339903166e+00,-5.092140930929160980e-01,-5.000000000000000000e+00
3.399333993339932913e+00,-5.097943027294162821e-01,-5.000000000000000000e+00
3.399633996339963105e+00,-5.103744664835127010e-01,-5.000000000000000000e+00
3.399933999339993296e+00,-5.109545843029889012e-01,-5.000000000000000000e+00
3.400234002340023043e+00,-5.115346561356323152e-01,-5.000000000000000000e+00
3.400534005340053234e+00,-5.121146819292370367e-01,-5.000000000000000000e+00
3.400834008340082981e+00,-5.126946616315979366e-01,-5.000000000000000000e+00
3.401134011340113172e+00,-5.132745951905177684e-01,-5.000000000000000000e+00
3.401434014340142920e+00,-5.138544825537996186e-01,-5.000000000000000000e+00
3.401734017340173111e+00,-5.144343236692542343e-01,-5.000000000000000000e+00
3.402034020340203302e+00,-5.150141184846941389e-01,-5.000000000000000000e+00
3.402334023340233049e+00,-5.155938669479357417e-01,-5.000000000000000000e+00
3.402634026340263240e+00,-5.161735690068025573e-01,-5.000000000000000000e+00
3.402934029340292987e+00,-5.167532246091184334e-01,-5.000000000000000000e+00
3.403234032340323179e+00,-5.173328337027151003e-01,-5.000000000000000000e+00
3.403534035340352926e+00,-5.179123962354250654e-01,-5.000000000000000000e+00
3.403834038340383117e+00,-5.184919121550883858e-01,-5.000000000000000000e+00
3.404134041340413308e+00,-5.190713814095465617e-01,-5.000000000000000000e+00
3.404434044340443055e+00,-5.196508039466456452e-01,-5.000000000000000000e+00
3.404734047340473246e+00,-5.202301797142381279e-01,-5.000000000000000000e+00
3.405034050340502993e+00,-5.208095086601775003e-01,-5.000000000000000000e+00
3.405334053340533185e+00,-5.213887907323249138e-01,-5.000000000000000000e+00
3.405634056340562932e+00,-5.219680258785420746e-01,-5.000000000000000000e+00
3.405934059340593123e+00,-5.225472140466985715e-01,-5.000000000000000000e+00
3.406234062340623314e+00,-5.231263551846655480e-01,-5.000000000000000000e+00
3.406534065340653061e+00,-5.237054492403183659e-01,-5.000000000000000000e+00
3.406834068340683253e+00,-5.242844961615393817e-01,-5.000000000000000000e+00
3.407134071340713000e+00,-5.248634958962113961e-01,-5.000000000000000000e+00
3.407434074340743191e+00,-5.254424483922253142e-01,-5.000000000000000000e+00
3.407734077340772938e+00,-5.260213535974724852e-01,-5.000000000000000000e+00
3.408034080340803129e+00,-5.266002114598522521e-01,-5.000000000000000000e+00
3.408334083340833320e+00,-5.271790219272655120e-01,-5.000000000000000000e+00
3.408634086340863067e+00,-5.277577849476172700e-01,-5.000000000000000000e+00
3.408934089340893259e+00,-5.283365004688196365e-01,-5.000000000000000000e+00
3.409234092340923006e+00,-5.289151684387854990e-01,-5.000000000000000000e+00
3.409534095340953197e+00,-5.294937888054352948e-01,-5.000000000000000000e+00
3.409834098340982944e+00,-5.300723615166904601e-01,-5.000000000000000000e+00
3.410134101341013135e+00,-5.306508865204802028e-01,-5.000000000000000000e+00
3.410434104341043327e+00,-5.312293637647352851e-01,-5.000000000000000000e+00
3.410734107341073074e+00,-5.318077931973910211e-01,-5.000000000000000000e+00
3.411034110341103265e+00,-5.323861747663891641e-01,-5.000000000000000000e+00
3.411334113341133012e+00,-5.329645084196729110e-01,-5.000000000000000000e+00
3.411634116341163203e+00,-5.335427941051926748e-01,-5.000000000000000000e+00
3.411934119341192950e+00,-5.341210317709000899e-01,-5.000000000000000000e+00
3.412234122341223141e+00,-5.346992213647544512e-01,-5.000000000000000000e+00
3.412534125341253333e+00,-5.352773628347168300e-01,-5.000000000000000000e+00
3.412834128341283080e+00,-5.358554561287524054e-01,-5.000000000000000000e+00
3.413134131341313271e+00,-5.364335011948336840e-01,-5.000000000000000000e+00
3.413434134341343018e+00,-5.370114979809338385e-01,-5.000000000000000000e+00
3.413734137341373209e+00,-5.375894464350335911e-01,-5.000000000000000000e+00
3.414034140341402956e+00,-5.381673465051151073e-01,-5.000000000000000000e+00
3.414334143341433148e+00,-5.387451981391678801e-01,-5.000000000000000000e+00
3.414634146341463339e+00,-5.393230012851835120e-01,-5.000000000000000000e+00
3.414934149341493086e+00,-5.399007558911577132e-01,-5.000000000000000000e+00
3.415234152341523277e+00,-5.404784619050931882e-01,-5.000000000000000000e+00
3.415534155341553024e+00,-5.410561192749938630e-01,-5.000000000000000000e+00
3.415834158341583215e+00,-5.416337279488709910e-01,-5.000000000000000000e+00
3.416134161341612963e+00,-5.422112878747372688e-01,-5.000000000000000000e+00
3.416434164341643154e+00,-5.427887990006127206e-01,-5.000000000000000000e+00
3.416734167341673345e+00,-5.433662612745197018e-01,-5.000000000000000000e+00
3.417034170341703092e+00,-5.439436746444845650e-01,-5.000000000000000000e+00
3.417334173341733283e+00,-5.445210390585408788e-01,-5.000000000000000000e+00
3.417634176341763030e+00,-5.450983544647228785e-01,-5.000000000000000000e+00
3.417934179341793222e+00,-5.456756208110731254e-01,-5.000000000000000000e+00
3.418234182341822969e+00,-5.462528380456348476e-01,-5.000000000000000000e+00
3.418534185341853160e+00,-5.468300061164590442e-01,-5.000000000000000000e+00
3.418834188341882907e+00,-5.474071249715978249e-01,-5.000000000000000000e+00
3.419134191341913098e+00,-5.479841945591112928e-01,-5.000000000000000000e+00
3.419434194341943289e+00,-5.485612148270612165e-01,-5.000000000000000000e+00
3.419734197341973037e+00,-5.491381857235139163e-01,-5.000000000000000000e+00
3.420034200342003228e+00,-5.497151071965425961e-01,-5.000000000000000000e+00
3.420334203342032975e+00,-5.502919791942217920e-01,-5.000000000000000000e+00
3.420634206342063166e+00,-5.508688016646333674e-01,-5.000000000000000000e+00
3.420934209342092913e+00,-5.514455745558608513e-01,-5.000000000000000000e+00
3.421234212342123104e+00,-5.520222978159952110e-01,-5.000000000000000000e+00
3.421534215342153296e+00,-5.525989713931294123e-01,-5.000000000000000000e+00
3.421834218342183043e+00,-5.531755952353610839e-01,-5.000000000000000000e+00
3.422134221342213234e+00,-5.537521692907947379e-01,-5.000000000000000000e+00
3.422434224342242981e+00,-5.543286935075357746e-01,-5.000000000000000000e+00
