t,Vin,Vout
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000030000300002745e-04,6.000059910597306187e-04,5.000000000000000000e+00
6.000060000600005491e-04,1.200011928117842306e-03,5.000000000000000000e+00
9.000090000900008236e-04,1.800017757172721333e-03,5.000000000000000000e+00
1.200012000120001098e-03,2.400023424222763515e-03,5.000000000000000000e+00
1.500015000150001481e-03,3.000028875266378976e-03,5.000000000000000000e+00
1.800018000180001647e-03,3.600034056301997139e-03,5.000000000000000000e+00
2.100021000210001813e-03,4.200038913328072582e-03,5.000000000000000000e+00
2.400024000240002196e-03,4.800043392343088938e-03,5.000000000000000000e+00
2.700027000270002579e-03,5.400047439345563235e-03,5.000000000000000000e+00
3.000030000300002962e-03,6.000051000334050665e-03,5.000000000000000000e+00
3.300033000330002911e-03,6.600054021307151519e-03,5.000000000000000000e+00
3.600036000360003294e-03,7.200056448263515534e-03,5.000000000000000000e+00
3.900039000390003677e-03,7.800058227201843615e-03,5.000000000000000000e+00
4.200042000420003627e-03,8.400059304120894785e-03,5.000000000000000000e+00
4.500045000450004010e-03,9.000059625019495718e-03,5.000000000000000000e+00
4.800048000480004393e-03,9.600059135896536408e-03,5.000000000000000000e+00
5.100051000510004776e-03,1.020005778275098057e-02,5.000000000000000000e+00
5.400054000540005159e-03,1.080005551158186999e-02,5.000000000000000000e+00
5.700057000570005541e-03,1.140005226838833145e-02,5.000000000000000000e+00
6.000060000600005924e-03,1.200004799916957500e-02,5.000000000000000000e+00
6.300063000630005440e-03,1.260004264992490436e-02,5.000000000000000000e+00
6.600066000660005823e-03,1.320003616665372560e-02,5.000000000000000000e+00
6.900069000690006206e-03,1.380002849535554195e-02,5.000000000000000000e+00
7.200072000720006589e-03,1.440001958202996070e-02,5.000000000000000000e+00
7.500075000750006972e-03,1.500000937267670711e-02,5.000000000000000000e+00
7.800078000780007355e-03,1.559999781329561921e-02,5.000000000000000000e+00
8.100081000810006870e-03,1.619998484988665471e-02,5.000000000000000000e+00
8.400084000840007253e-03,1.679997042844990837e-02,5.000000000000000000e+00
8.700087000870007636e-03,1.739995449498559638e-02,5.000000000000000000e+00
9.000090000900008019e-03,1.799993699549406675e-02,5.000000000000000000e+00
9.300093000930008402e-03,1.859991787597582366e-02,5.000000000000000000e+00
9.600096000960008785e-03,1.919989708243149962e-02,5.000000000000000000e+00
9.900099000990009168e-03,1.979987456086189368e-02,5.000000000000000000e+00
1.020010200102000955e-02,2.039985025726795062e-02,5.000000000000000000e+00
1.050010500105000993e-02,2.099982411765077481e-02,5.000000000000000000e+00
1.080010800108001032e-02,2.159979608801164408e-02,5.000000000000000000e+00
1.110011100111001070e-02,2.219976611435199934e-02,5.000000000000000000e+00
1.140011400114001108e-02,2.279973414267346191e-02,5.000000000000000000e+00
1.170011700117001147e-02,2.339970011897782309e-02,5.000000000000000000e+00
1.200012000120001185e-02,2.399966398926707198e-02,5.000000000000000000e+00
1.230012300123001050e-02,2.459962569954337111e-02,5.000000000000000000e+00
1.260012600126001088e-02,2.519958519580910161e-02,5.000000000000000000e+00
